"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"017004","Alfianello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2425,"p","dato provvisorio"
"006004","Alfiano Natta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",742,"p","dato provvisorio"
"039001","Alfonsine","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",11808,"p","dato provvisorio"
"090003","Alghero","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",43743,"p","dato provvisorio"
"016248","Algua","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",658,"p","dato provvisorio"
"083002","Alì","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",710,"p","dato provvisorio"
"083003","Alì Terme","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2446,"p","dato provvisorio"
"082001","Alia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3510,"p","dato provvisorio"
"077002","Aliano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",907,"p","dato provvisorio"
"006005","Alice Bel Colle","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",732,"p","dato provvisorio"
"061002","Alife","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",7555,"p","dato provvisorio"
"082002","Alimena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1915,"p","dato provvisorio"
"082003","Aliminusa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1138,"p","dato provvisorio"
"095005","Allai","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",355,"p","dato provvisorio"
"025003","Alleghe","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1166,"p","dato provvisorio"
"007001","Allein","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",209,"p","dato provvisorio"
"055002","Allerona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1722,"p","dato provvisorio"
"075004","Alliste","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6614,"p","dato provvisorio"
"058004","Allumiere","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3914,"p","dato provvisorio"
"016005","Almè","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5540,"p","dato provvisorio"
"016006","Almenno San Bartolomeo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6373,"p","dato provvisorio"
"016007","Almenno San Salvatore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5657,"p","dato provvisorio"
